,count,mean,std,min,25%,50%,75%,max
Agent,10.000,-0.032,0.038,-0.127,-0.040,-0.023,-0.010,-0.000
No agent,16.000,-0.037,0.049,-0.194,-0.050,-0.022,-0.004,-0.000
