prod,busload,desired load,cost1,cost2
11803.803803803805,1266.4788339426432,1300,33.52116605735682,10570.846135918518
11819.81981981982,1262.6380769832504,1300,37.36192301674964,10594.543665853322
11835.835835835836,1258.789986398313,1300,41.210013601687024,10618.255863039212
11851.851851851852,1254.934574515175,1300,45.06542548482503,10641.982702821502
11867.86786786787,1251.0718536260301,1300,48.92814637396987,10665.72416061581
11883.883883883886,1247.2018359874546,1300,52.798164012545385,10689.480211908976
11899.899899899901,1243.324533821351,1300,56.675466178649,10713.2508322572
11915.915915915917,1239.4399593146081,1300,60.56004068539187,10737.0359972867
11931.931931931933,1235.5481246191284,1300,64.45187538087157,10760.835682693676
11947.947947947949,1231.6490418525918,1300,68.35095814740816,10784.649864242765
11963.963963963964,1227.7427230977191,1300,72.25727690228086,10808.478517768526
11979.97997997998,1223.829180403187,1300,76.17081959681309,10832.321619173606
11995.995995995998,1219.9084257832747,1300,80.09157421672535,10856.179144429449
12012.012012012014,1215.9804712183013,1300,84.01952878169868,10880.051069575411
12028.02802802803,1212.0453286545962,1300,87.95467134540377,10903.937370718839
12044.044044044045,1208.1030100046064,1300,91.8969899953936,10927.838024034834
12060.060060060061,1204.1535271471275,1300,95.84647285287247,10951.753005765806
12076.076076076077,1200.196891927504,1300,99.80310807249589,10975.682292221069
12092.092092092093,1196.2331161576294,1300,103.76688384237059,10999.625859776834
12108.108108108108,1192.2622116158836,1300,107.73778838411636,11023.583684876341
12124.124124124126,1188.284190047767,1300,111.71580995223303,11047.555744028592
12140.140140140142,1184.2990631656685,1300,115.70093683433151,11071.542013808805
12156.156156156158,1180.3068426491445,1300,119.69315735085547,11095.542470857868
12172.172172172173,1176.3075401448477,1300,123.69245985515226,11119.557091882478
12188.188188188189,1172.3011672669654,1300,127.69883273303458,11143.585853654258
12204.204204204205,1168.2877355969194,1300,131.71226440308055,11167.628733010366
12220.22022022022,1164.2672566842411,1300,135.73274331575885,11191.685706851738
12236.236236236236,1160.2397420455472,1300,139.76025795445275,11215.756752145144
12252.252252252254,1156.2052031659114,1300,143.79479683408863,11239.841845920433
12268.26826826827,1152.1636514982001,1300,147.83634850179988,11263.94096527187
12284.284284284286,1148.1150984631931,1300,151.88490153680686,11288.0540873579
12300.300300300301,1144.0595554502415,1300,155.94044454975847,11312.181189399818
12316.316316316317,1139.9970338170242,1300,160.0029661829758,11336.322248682269
12332.332332332333,1135.9275448894841,1300,164.07245511051588,11360.477242553365
12348.348348348349,1131.8510999625742,1300,168.14890003742585,11384.6461484232
12364.364364364366,1127.7677102994803,1300,172.2322897005197,11408.828943765406
12380.380380380382,1123.6773871326313,1300,176.32261286736866,11433.02560611512
12396.396396396398,1119.5801416633349,1300,180.41985833666513,11457.236113069728
12412.412412412414,1115.4759850621194,1300,184.52401493788057,11481.460442288175
12428.42842842843,1111.3649284683906,1300,188.63507153160936,11505.698571491648
12444.444444444445,1107.2469829913134,1300,192.75301700868658,11529.950478461818
12460.460460460461,1103.1221597093572,1300,196.87784029064278,11554.216141041748
12476.476476476477,1098.9904696704107,1300,201.00953032958932,11578.495537135655
12492.492492492494,1094.8519238923218,1300,205.1480761076782,11602.78864470785
12508.50850850851,1090.7065333624923,1300,209.29346663750766,11627.095441783526
12524.524524524526,1086.554309038518,1300,213.4456909614819,11651.41590644749
12540.540540540542,1082.3952618477506,1300,217.6047381522494,11675.75001684504
12556.556556556558,1078.2294026879244,1300,221.77059731207555,11700.097751180709
12572.572572572573,1074.0567424271594,1300,225.9432575728406,11724.459087718255
12588.58858858859,1069.8772919033963,1300,230.12270809660367,11748.834004781796
12604.604604604605,1065.6910619258324,1300,234.3089380741676,11773.22248075294
12620.620620620623,1061.4980632736315,1300,238.5019367263685,11797.62449407336
12636.636636636638,1057.2983066971628,1300,242.70169330283716,11822.040023242313
12652.652652652654,1053.0918029172371,1300,246.90819708276285,11846.46904681818
12668.66866866867,1048.8785626259578,1300,251.12143737404222,11870.911543416756
12684.684684684686,1044.6585964862152,1300,255.34140351378483,11895.367491712257
12700.700700700701,1040.4319151323016,1300,259.5680848676984,11919.836870436098
12716.716716716717,1036.198529169611,1300,263.801470830389,11944.319658377495
12732.732732732733,1031.9584491749647,1300,268.0415508250353,11968.815834382804
12748.74874874875,1027.7116856966877,1300,272.2883143033123,11993.325377355375
12764.764764764766,1023.4582492546742,1300,276.54175074532577,12017.848266255418
12780.780780780782,1019.1981503406005,1300,280.8018496593995,12042.384480099581
12796.796796796798,1014.9313994179465,1300,285.0686005820535,12066.933997960905
12812.812812812814,1010.6580069220563,1300,289.3419930779437,12091.496798968701
12828.82882882883,1006.3779832603068,1300,293.6220167396932,12116.072862308216
12844.844844844845,1002.091338812419,1300,297.90866118758095,12140.662167220007
12860.860860860863,997.7980839299216,1300,302.20191607007837,12165.26469300102
